Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
RCG,RENN Fund Inc Common Stock,$2.6603,-0.0697,-2.553%,15833989.00,United States,,18453,,
REI,Ring Energy Inc. Common Stock,$2.22,0.02,0.909%,220392580.00,United States,,1120211,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$38.15,3.14,8.969%,687521026.00,United States,,17814,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$11.10,0.01,0.09%,18739231.00,,2017,1008752,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$4.40,0.00,0.00%,,,,802,,
RLGT,Radiant Logistics Inc. Common Stock,$7.77,0.26,3.462%,389428313.00,United States,,158688,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$3.36,0.21,6.667%,10941215.00,,2018,3816111,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$9.34,-0.35,-3.612%,317598331.00,United States,,379141,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.35,0.00,0.00%,0.00,United States,2019,15,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.18,0.04,0.778%,127263406.00,United States,2017,109626,Consumer Services,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.7688,0.1488,0.581%,0.00,United States,2019,256,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.90,0.019,0.073%,0.00,United States,2020,840,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.7895,0.0195,2.532%,20339369.00,,2014,222428,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3677.38,-52.62,-1.411%,4268625479.00,United States,1996,416,,
SENS,Senseonics Holdings Inc. Common Stock,$2.00,-0.10,-4.762%,856144392.00,United States,,9355260,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$10.6895,-0.0305,-0.285%,64020794.00,United States,,6853,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$9.54,0.03,0.315%,1378128977.00,,2018,852552,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$21.1047,0.3647,1.758%,3501334543.00,Mexico,1993,495,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$3.41,-0.01,-0.292%,557289992.00,,,270864,,
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.8683,-0.0517,-5.62%,48785764.00,United States,,1069690,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$2.95,-0.07,-2.318%,20414156.00,United States,,335443,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$6.97,0.01,0.144%,516574364.00,United States,,101497,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$6.12,-0.05,-0.81%,1073192257.00,,,1428384,,
SVT,Servotronics Inc. Common Stock,$7.40,-0.0973,-1.298%,18340952.00,United States,,29028,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.5349,0.022,4.289%,70629554.00,United States,,2600633,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$2.28,-0.01,-0.437%,645670975.00,Canada,,1764583,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.08,0.01,0.935%,210500839.00,Canada,,223620,,
TKAT,Takung Art Co. Ltd. Common Stock,$17.37,-2.63,-13.15%,202575523.00,,,800239,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.29,-0.01,-0.769%,47527528.00,United States,2015,770208,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$82.05,1.18,1.459%,1222958286.00,United States,,26867,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.72,-0.02,-0.73%,392476345.00,Canada,,472523,,
TPHS,Trinity Place Holdings Inc. Common Stock,$1.85,0.00,0.00%,60042801.00,,,11813,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$4.99,-0.26,-4.952%,19526144.00,United States,,24383,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.5298,0.0098,1.885%,135030421.00,Canada,,538472,,
UAMY,United States Antimony Corporation Common Stock,$0.8565,0.0323,3.919%,90804378.00,United States,,849829,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$4.64,-0.17,-3.534%,317474025.00,United States,,1404459,,
UEC,Uranium Energy Corp. Common Stock,$3.06,-0.05,-1.608%,712399705.00,Canada,,2707277,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$3.3283,-0.0017,-0.051%,32547935.00,United States,2015,7254,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.53,-0.03,-1.923%,289765323.00,Canada,,1770690,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$1.72,0.09,5.521%,228917296.00,,2017,3135761,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$34.74,-0.09,-0.258%,1934911696.00,United States,2004,179864,,
UUU,Universal Security Instruments Inc. Common Stock,$5.93,0.06,1.022%,13715420.00,United States,,86927,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.07,0.00,0.00%,870654790.00,,,2512319,,
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.80,0.16,1.093%,71589080.00,United States,1993,1184,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.7286,0.0096,0.07%,62169183.00,United States,1993,1386,,
VGZ,Vista Gold Corp Common Stock,$1.11,0.05,4.717%,115605305.00,United States,,431324,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.93,0.06,0.608%,249801563.00,,2021,7684,,
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$12.14,0.00,0.00%,538913429.00,United States,,55734,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.57,0.07,0.519%,156122511.00,United States,1993,10499,,
VNRX,VolitionRX Limited Common Stock,$3.48,-0.02,-0.571%,184066641.00,Singapore,2015,155076,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$3.89,0.00,0.00%,84555277.00,United States,,69044,Technology,Diversified Commercial Services
WLMS,Williams Industrial Services Group Inc. Common Stock,$4.87,0.18,3.838%,126113525.00,,2021,151235,Capital Goods,Oilfield Services/Equipment
WRN,Western Copper and Gold Corporation Common Stock,$2.05,-0.03,-1.442%,278385152.00,Canada,2011,901782,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.761,0.021,1.207%,38143820.00,United States,,28482,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$3.93,-0.06,-1.504%,127081718.00,United States,,1378416,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$6.92,-0.22,-3.081%,62773756.00,United States,,83598,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.6811,-0.0339,-4.741%,39796071.00,United States,,260704,,
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.51,0.04,2.721%,130928002.00,United States,,57059,Health Care,Medical Specialities
XXII,22nd Century Group Inc. Common Stock,$4.55,0.01,0.22%,693620942.00,United States,,1430948,,
YCBD,cbdMD Inc. Common Stock,$3.06,0.04,1.325%,174360529.00,United States,2017,207125,Health Care,Major Pharmaceuticals
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$8.70,0.007,0.081%,,United States,,2624,,
ZDGE,Zedge Inc. Class B Common Stock ,$11.95,0.17,1.443%,161703827.00,,2016,325123,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.82,0.0322,4.087%,798967069.00,United States,2017,27601259,,
