Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.85,0.00,0.00%,117313500.00,,2021,13125,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.52,-0.02,-0.565%,184113350.00,United States,,1094560,,
CIX,CompX International Inc. Common Stock,$22.66,-0.06,-0.264%,281010218.00,United States,1998,5944,Miscellaneous,Diversified Manufacture
CKX,CKX Lands Inc. Common Stock,$13.00,0.08,0.619%,25252435.00,United States,,356,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$11.10,-0.08,-0.716%,862164029.00,United States,1987,2632320,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$15.03,0.16,1.076%,182145910.00,Canada,,72134,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$13.91,0.215,1.57%,118019075.00,United States,,5409,Consumer Durables,Electronic Components
COHN,Cohen & Company Inc.,$24.39,-1.19,-4.652%,32366432.00,United States,,88821,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.6001,0.0051,0.857%,26152092.00,China,,203394,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$40.36,-0.38,-0.933%,19535092524.00,United States,2007,118529,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$10.89,-0.28,-2.507%,446964891.00,United States,,1152837,,
CTEK,CynergisTek Inc. Common Stock,$1.71,-0.04,-2.286%,20726394.00,United States,2017,37505,Technology,Retail: Computer Software & Peripheral Equipment
CVM,Cel-Sci Corporation Common Stock,$20.78,0.32,1.564%,850039003.00,United States,,420908,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.89,-0.11,-0.407%,25979289.00,United States,,1734,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$4.04,0.01,0.248%,49410359.00,United States,,21830,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.47,0.01,0.407%,255663283.00,United States,1998,607129,,
DIT,AMCON Distributing Company Common Stock,$130.517,-4.743,-3.507%,71963028.00,United States,,145,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$32.99,-0.51,-1.522%,230094033.00,United States,,30846,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$9.28,0.03,0.324%,192567405.00,United States,1988,158125,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.16,-0.02,-1.695%,933690300.00,Canada,,9181387,,
DPW,Ault Global Holdings Inc. Common Stock,$2.46,0.00,0.00%,121766743.00,United States,,1747870,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$2.72,-0.09,-3.203%,75262740.00,United States,,348180,Consumer Services,Recreational Products/Toys
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.63,0.06,3.822%,34033075.00,China,,912983,Consumer Non-Durables,Apparel
DXR,Daxor Corporation Common Stock,$9.75,0.0499,0.514%,39330301.00,United States,,7361,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.55,-0.04,-0.466%,518012130.00,United States,2003,130708,,
ECF,Ellsworth Growth and Income Fund Ltd.,$14.04,0.02,0.143%,189532390.00,United States,1986,21039,,
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.04,-0.01,-0.038%,,United States,,222,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.50,0.02,0.148%,971367984.00,United States,2002,103778,,
ELA,Envela Corporation Common Stock,$4.24,-0.01,-0.235%,114159375.00,United States,,48476,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$29.71,-0.78,-2.558%,381459376.00,Israel,,3335,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$9.70,0.06,0.622%,83782974.00,United States,2011,47982,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$2.42,-0.04,-1.626%,174895643.00,United States,,411180,Capital Goods,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$3.51,-0.09,-2.50%,300617979.00,Canada,,83072,,
ENSV,Enservco Corporation Common Stock,$1.27,0.02,1.60%,14519562.00,United States,,232958,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.415,0.015,0.121%,224938620.00,United States,2002,14663,,
